In-DEX Third Party Logistics  Base Product,25000.00
Radio DataTermina Module,7500.00
Integration Module,7500.00
Auto Report Scheduler,5000.00
Digital Signature Capture,2500.00
Diary Book System,6000.00
InDEX Document Imaging & Scanning,7500.00
Number of Desktop Users,1750.00
Number of RDT Users,1500.00
Web Module Including 5 Named Accounts,5000.00
Adtional Pack of 5 Named Accounts,2500.00
Enterprise RDBMS,615.00
Application Server Plus,270.00
Fathom Replication Plus for resilience,210.00
Georgia Telnet Software Per CPU ,995.00
